step,train_action_l1_raw,train_action_l1_trailing_mean,train_smoothing_window_steps
1000,0.719950258731842,0.7553246076703072,1000
2000,0.7404229044914246,0.7255158997774124,1000
3000,0.7144461274147034,0.7092513934373855,1000
4000,0.6567901372909546,0.7004474966526032,1000
5000,0.6791574954986572,0.6925851448774337,1000
6000,0.6969441771507263,0.6857280264496803,1000
7000,0.6555771231651306,0.6812178811430931,1000
8000,0.6823672652244568,0.6779583910703659,1000
9000,0.6654022336006165,0.6744566779732705,1000
10000,0.6862088441848755,0.6692321814894676,1000
11000,0.6714950799942017,0.6673166486620903,1000
12000,0.6335610151290894,0.6623328536152839,1000
13000,0.5991488695144653,0.6577596910595894,1000
14000,0.6348601579666138,0.6542899888157845,1000
15000,0.6694640517234802,0.6542662579417229,1000
16000,0.5945133566856384,0.6489998955130577,1000
17000,0.6771947741508484,0.6438445142507553,1000
18000,0.6357258558273315,0.635018706202507,1000
19000,0.6236499547958374,0.6326198019981384,1000
20000,0.6654331088066101,0.6308722900152206,1000
21000,0.6454278230667114,0.6244881342053413,1000
22000,0.5950820446014404,0.6225047715306282,1000
23000,0.6330443620681763,0.6189477236270905,1000
24000,0.6442948579788208,0.615142569243908,1000
25000,0.6151471138000488,0.6123321937918663,1000
26000,0.576151967048645,0.6099641640782356,1000
27000,0.6307368278503418,0.6055920606851578,1000
28000,0.5973835587501526,0.6024160550832749,1000
29000,0.5815178155899048,0.601931644141674,1000
30000,0.6116646528244019,0.596322307229042,1000
31000,0.6108628511428833,0.5925070312023163,1000
32000,0.6197258234024048,0.5890422423481941,1000
33000,0.6190183162689209,0.5863329356908799,1000
34000,0.5866908431053162,0.5821241424679756,1000
35000,0.5994381308555603,0.5767925263941288,1000
36000,0.5546329617500305,0.5734716206789017,1000
37000,0.5897128582000732,0.5713347042500972,1000
38000,0.6024616360664368,0.5679219419062138,1000
39000,0.5416347980499268,0.5639708346128464,1000
40000,0.5482572913169861,0.5645301950275898,1000
41000,0.5668131709098816,0.5596893307566643,1000
42000,0.5745267271995544,0.5584754463136196,1000
43000,0.534930944442749,0.5559380941689015,1000
44000,0.5765693187713623,0.5519115974903107,1000
45000,0.6187971234321594,0.5498739442527294,1000
46000,0.5711142420768738,0.5481852093338966,1000
47000,0.5531250238418579,0.5462433299720287,1000
48000,0.5950253009796143,0.5442017286419868,1000
49000,0.5259137749671936,0.5402347656786441,1000
50000,0.5631593465805054,0.5389470110833645,1000
51000,0.5126911997795105,0.5320510465800762,1000
52000,0.5445097088813782,0.5283156431913376,1000
53000,0.5252546668052673,0.5289564196765423,1000
54000,0.5018775463104248,0.5262702843844891,1000
55000,0.5133359432220459,0.5245407172441483,1000
56000,0.5218021273612976,0.5203944932520389,1000
57000,0.5001585483551025,0.5195186864435672,1000
58000,0.44423529505729675,0.5184510305821896,1000
59000,0.5097780823707581,0.5160475883483887,1000
60000,0.4707692265510559,0.5136624028682709,1000
61000,0.48679840564727783,0.5116130568385124,1000
62000,0.48666220903396606,0.509602031826973,1000
63000,0.43729880452156067,0.5077140530943871,1000
64000,0.5082911252975464,0.5057733532190323,1000
65000,0.49849510192871094,0.5039433722496033,1000
66000,0.4677634835243225,0.501200165271759,1000
67000,0.461648553609848,0.5011754903197289,1000
68000,0.47701993584632874,0.4922848395705223,1000
69000,0.5232139229774475,0.49117541563510897,1000
70000,0.4906899034976959,0.4915123700797558,1000
71000,0.4837822914123535,0.4891093085408211,1000
72000,0.4932369887828827,0.48694451862573623,1000
73000,0.48934128880500793,0.48725041303038596,1000
74000,0.47292906045913696,0.48569142317771913,1000
75000,0.5063439011573792,0.48401485657691956,1000
76000,0.5128829479217529,0.4818794239759445,1000
77000,0.4873715043067932,0.48090801802277566,1000
78000,0.5045033097267151,0.47995972084999083,1000
79000,0.45094913244247437,0.47866682693362234,1000
80000,0.492217481136322,0.47746342423558236,1000
81000,0.4428323805332184,0.47492868652939796,1000
82000,0.4536108374595642,0.4728058251142502,1000
83000,0.4634441137313843,0.47092654210329055,1000
84000,0.4457719027996063,0.46952585741877556,1000
85000,0.46984732151031494,0.46377086624503133,1000
86000,0.4464486539363861,0.462399799734354,1000
87000,0.4618362784385681,0.46255750840902327,1000
88000,0.4701126217842102,0.46117851114273073,1000
89000,0.43398579955101013,0.4602994582951069,1000
90000,0.4334178864955902,0.4591977059841156,1000
91000,0.48895978927612305,0.4578390864431858,1000
92000,0.45269766449928284,0.45666267946362493,1000
93000,0.4479568898677826,0.45546283590793607,1000
94000,0.46673381328582764,0.4553776949942112,1000
95000,0.5097761750221252,0.4543509819507599,1000
96000,0.4538032114505768,0.45187955126166346,1000
97000,0.43743816018104553,0.4505798736214638,1000
98000,0.4336799085140228,0.44854406121373175,1000
99000,0.4182804524898529,0.4478443260490894,1000
100000,0.4586472511291504,0.44667441669106484,1000
