experiment,display_name,mode,mean_chunk_delta_l2_first6,std_chunk_delta_l2_first6,q90_chunk_delta_l2_first6
act_lang_B,ACT-Lang-B,gt,0.23146703839302063,0.1809326559305191,0.46048787236213684
act_lang_B,ACT-Lang-B,correct,0.5639417171478271,0.26943904161453247,0.8871471881866455
act_lang_B,ACT-Lang-B,zero_language,0.4657740592956543,0.22399993240833282,0.8014883995056152
act_lang_B,ACT-Lang-B,wrong_language,0.5786678791046143,0.23828044533729553,0.8743919134140015
act_lang_ABC_200k,ACT-Lang-ABC 200k,gt,0.2579565942287445,0.19958631694316864,0.5330941081047058
act_lang_ABC_200k,ACT-Lang-ABC 200k,correct,0.5806722640991211,0.26333895325660706,0.9457420706748962
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,0.47250497341156006,0.186836376786232,0.7111566066741943
act_lang_ABC_200k,ACT-Lang-ABC 200k,wrong_language,0.5736639499664307,0.19587232172489166,0.821006715297699
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,gt,0.2579565942287445,0.19958631694316864,0.5330941081047058
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,correct,0.6063727140426636,0.27616018056869507,0.9895241260528564
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,zero_language,0.5142282843589783,0.19428510963916779,0.7283927798271179
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,wrong_language,0.6340456604957581,0.23096247017383575,0.8799391984939575
