comparison,left_experiment,right_experiment,metric,left_value,right_value,delta_left_minus_right,relative_delta_left_minus_right,lower_is_better,validation_comparability
ABC_vs_ABC_aug,act_ABC,act_ABC_aug,best_val_action_l1,0.5551944971084595,0.5559360273182392,-0.0007415302097797394,-0.0013338408977680068,True,same_ABC_validation_split
ABC_vs_ABC_aug,act_ABC,act_ABC_aug,final_val_action_l1,0.5810228162445128,0.5872044791467488,-0.006181662902235985,-0.01052727477695401,True,same_ABC_validation_split
ABC_vs_ABC_aug,act_ABC,act_ABC_aug,final_minus_best_val_action_l1,0.025828319136053324,0.03126845182850957,-0.005440132692456245,-0.17398151729073158,True,same_ABC_validation_split
ABC_vs_ABC_aug,act_ABC,act_ABC_aug,selected_checkpoint_val_action_l1,0.5565027287229896,0.558814010117203,-0.002311281394213438,-0.0041360476873668235,True,same_ABC_validation_split
ABC_vs_ABC_aug,act_ABC,act_ABC_aug,first_step_within_1pct_best_val,20000,20000,0.0,0.0,True,same_ABC_validation_split
ABC_vs_ABC_size_matched,act_ABC,act_ABC_size_matched,best_val_action_l1,0.5551944971084595,0.5652964413166046,-0.010101944208145142,-0.017870171240804544,True,same_ABC_validation_split
ABC_vs_ABC_size_matched,act_ABC,act_ABC_size_matched,final_val_action_l1,0.5810228162445128,0.6164840455166996,-0.035461229272186756,-0.05752173074076119,True,same_ABC_validation_split
ABC_vs_ABC_size_matched,act_ABC,act_ABC_size_matched,final_minus_best_val_action_l1,0.025828319136053324,0.05118760420009494,-0.025359285064041615,-0.49541847992945487,True,same_ABC_validation_split
ABC_vs_ABC_size_matched,act_ABC,act_ABC_size_matched,selected_checkpoint_val_action_l1,0.5565027287229896,0.5735606364905834,-0.01705790776759386,-0.02974037387217718,True,same_ABC_validation_split
ABC_vs_ABC_size_matched,act_ABC,act_ABC_size_matched,first_step_within_1pct_best_val,20000,15000,5000.0,0.3333333333333333,True,same_ABC_validation_split
ABC_vs_B,act_ABC,act_B,best_val_action_l1,0.5551944971084595,0.5404146257787943,0.014779871329665184,0.027349132730014172,True,different_validation_split
ABC_vs_B,act_ABC,act_B,final_val_action_l1,0.5810228162445128,0.6228719879873097,-0.0418491717427969,-0.0671874358614591,True,different_validation_split
ABC_vs_B,act_ABC,act_B,final_minus_best_val_action_l1,0.025828319136053324,0.0824573622085154,-0.05662904307246208,-0.686767579700894,True,different_validation_split
ABC_vs_B,act_ABC,act_B,selected_checkpoint_val_action_l1,0.5565027287229896,0.5404146257787943,0.01608810294419527,0.029769925121864757,True,different_validation_split
ABC_vs_B,act_ABC,act_B,first_step_within_1pct_best_val,20000,10000,10000.0,1.0,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,best_val_action_l1,0.5652964413166046,0.5404146257787943,0.024881815537810326,0.04604208389429323,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,final_val_action_l1,0.6164840455166996,0.6228719879873097,-0.006387942470610142,-0.010255626507224289,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,final_minus_best_val_action_l1,0.05118760420009494,0.0824573622085154,-0.03126975800842047,-0.3792233606666504,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,selected_checkpoint_val_action_l1,0.5735606364905834,0.5404146257787943,0.03314601071178913,0.06133440719525724,True,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,first_step_within_1pct_best_val,15000,10000,5000.0,0.5,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,best_val_action_l1,0.5668818224221468,0.5409390446729958,0.02594277774915099,0.04795878205618105,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,final_val_action_l1,0.6304311300627887,0.6485505253076553,-0.01811939524486661,-0.027938293992239453,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,final_minus_best_val_action_l1,0.06354930764064193,0.10761148063465953,-0.0440621729940176,-0.40945606113913136,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,selected_checkpoint_val_action_l1,0.571392897516489,0.5478160153143108,0.02357688220217824,0.04303795716642374,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,first_step_within_1pct_best_val,10000,15000,-5000.0,-0.3333333333333333,True,different_validation_split
