experiment,checkpoint_mode,metric,mean,q90,q99
act_B,selected,pred_step_delta_l2_first6,0.016225610172038617,0.033073343336582205,0.07643403977155688
act_B,selected,pred_boundary_jump_l2_first6,0.19930537938357423,0.32088571786880493,0.48251552879810333
act_B,selected,gt_boundary_jump_l2_first6,0.17130813984187201,0.2967865765094757,0.5198112547397618
act_B_aug,selected,pred_step_delta_l2_first6,0.016390255692487594,0.03357596658170226,0.07794890731573126
act_B_aug,selected,pred_boundary_jump_l2_first6,0.2050062281264727,0.35288161039352417,0.4925046652555471
act_B_aug,selected,gt_boundary_jump_l2_first6,0.17130813984187201,0.2967865765094757,0.5198112547397618
act_ABC,selected,pred_step_delta_l2_first6,0.02122468718190307,0.04621988385915759,0.11022158361971389
act_ABC,selected,pred_boundary_jump_l2_first6,0.31261863976371157,0.5562066435813904,0.9127005755901338
act_ABC,selected,gt_boundary_jump_l2_first6,0.17130813984187201,0.2967865765094757,0.5198112547397618
act_ABC_size_matched,selected,pred_step_delta_l2_first6,0.02105282517523766,0.04409817270934583,0.10474375471472744
act_ABC_size_matched,selected,pred_boundary_jump_l2_first6,0.2287834192974837,0.39262261986732483,0.7185417592525483
act_ABC_size_matched,selected,gt_boundary_jump_l2_first6,0.17130813984187201,0.2967865765094757,0.5198112547397618
act_ABC_aug,selected,pred_step_delta_l2_first6,0.02145259496416942,0.046488127112388616,0.11048653841018687
act_ABC_aug,selected,pred_boundary_jump_l2_first6,0.3251639152082918,0.5894147753715515,0.8837326347827917
act_ABC_aug,selected,gt_boundary_jump_l2_first6,0.17130813984187201,0.2967865765094757,0.5198112547397618
act_ABC_size_matched_aug,selected,pred_step_delta_l2_first6,0.020351677008506902,0.04244214333593846,0.09604685045778778
act_ABC_size_matched_aug,selected,pred_boundary_jump_l2_first6,0.24123885625020405,0.41449710726737976,0.6722370684146882
act_ABC_size_matched_aug,selected,gt_boundary_jump_l2_first6,0.17130813984187201,0.2967865765094757,0.5198112547397618
